image_file,mask_file,image_shape,mask_shape,image_hw,mask_hw,same_hw,status
20985.png,20985.npy,"(199, 1346, 3)","(1, 199, 1346)","(199, 1346)","(199, 1346)",True,ok
210.png,210.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
21004.png,21004.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
21014.png,21014.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
21034.png,21034.npy,"(287, 1440, 3)","(1, 287, 1440)","(287, 1440)","(287, 1440)",True,ok
21095.png,21095.npy,"(256, 320, 4)","(2, 256, 320)","(256, 320)","(2, 256)",False,shape_mismatch
21134.png,21134.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
21156.png,21156.npy,"(97, 719, 3)","(1, 97, 719)","(97, 719)","(97, 719)",True,ok
21202.png,21202.npy,"(645, 956, 3)","(2, 645, 956)","(645, 956)","(2, 645)",False,shape_mismatch
21204.png,21204.npy,"(887, 878, 3)","(3, 887, 878)","(887, 878)","(3, 887)",False,shape_mismatch
2121.png,2121.npy,"(512, 774, 3)","(3, 512, 774)","(512, 774)","(3, 512)",False,shape_mismatch
21213.png,21213.npy,"(512, 536, 3)","(3, 512, 536)","(512, 536)","(3, 512)",False,shape_mismatch
21239.png,21239.npy,"(319, 403, 3)","(1, 319, 403)","(319, 403)","(319, 403)",True,ok
21253.png,21253.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
21264.png,21264.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
21266.png,21266.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
21331.png,21331.npy,"(397, 276, 3)","(1, 397, 276)","(397, 276)","(397, 276)",True,ok
21375.png,21375.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
21525.png,21525.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
21540.png,21540.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
21562.png,21562.npy,"(87, 614, 3)","(1, 87, 614)","(87, 614)","(87, 614)",True,ok
21603.png,21603.npy,"(360, 360, 4)","(3, 360, 360)","(360, 360)","(3, 360)",False,shape_mismatch
21631.png,21631.npy,"(512, 512)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
21633.png,21633.npy,"(164, 659, 3)","(1, 164, 659)","(164, 659)","(164, 659)",True,ok
2164.png,2164.npy,"(520, 696, 3)","(2, 520, 696)","(520, 696)","(2, 520)",False,shape_mismatch
21640.png,21640.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
21652.png,21652.npy,"(170, 1159, 3)","(1, 170, 1159)","(170, 1159)","(170, 1159)",True,ok
21671.png,21671.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
21706.png,21706.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
21728.png,21728.npy,"(101, 610, 3)","(2, 101, 610)","(101, 610)","(2, 101)",False,shape_mismatch
21734.png,21734.npy,"(512, 640, 4)","(2, 512, 640)","(512, 640)","(2, 512)",False,shape_mismatch
21740.png,21740.npy,"(339, 794, 3)","(1, 339, 794)","(339, 794)","(339, 794)",True,ok
21747.png,21747.npy,"(512, 615, 3)","(1, 512, 615)","(512, 615)","(512, 615)",True,ok
21765.png,21765.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
2177.png,2177.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
21770.png,21770.npy,"(72, 589, 3)","(1, 72, 589)","(72, 589)","(72, 589)",True,ok
21773.png,21773.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
21798.png,21798.npy,"(1024, 1280, 3)","(1, 1024, 1280)","(1024, 1280)","(1024, 1280)",True,ok
21809.png,21809.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
21851.png,21851.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
21892.png,21892.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
21933.png,21933.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
21946.png,21946.npy,"(186, 518, 3)","(1, 186, 518)","(186, 518)","(186, 518)",True,ok
21968.png,21968.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
22046.png,22046.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
22052.png,22052.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
22066.png,22066.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
22078.png,22078.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
22141.png,22141.npy,"(1422, 2162, 3)","(2, 1422, 2162)","(1422, 2162)","(2, 1422)",False,shape_mismatch
22155.png,22155.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
22158.png,22158.npy,"(1024, 1280, 3)","(1, 1024, 1280)","(1024, 1280)","(1024, 1280)",True,ok
22164.png,22164.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
22173.png,22173.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
22175.png,22175.npy,"(1310, 951, 3)","(3, 1310, 951)","(1310, 951)","(3, 1310)",False,shape_mismatch
22182.png,22182.npy,"(512, 518, 3)","(1, 512, 518)","(512, 518)","(512, 518)",True,ok
22216.png,22216.npy,"(512, 732, 3)","(3, 512, 732)","(512, 732)","(3, 512)",False,shape_mismatch
22224.png,22224.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
22226.png,22226.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
22274.png,22274.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
2228.png,2228.npy,"(182, 177, 3)","(1, 182, 177)","(182, 177)","(182, 177)",True,ok
22293.png,22293.npy,"(512, 579, 3)","(1, 512, 579)","(512, 579)","(512, 579)",True,ok
22298.png,22298.npy,"(2592, 3888, 3)","(2, 2592, 3888)","(2592, 3888)","(2, 2592)",False,shape_mismatch
2230.png,2230.npy,"(479, 283, 3)","(1, 479, 283)","(479, 283)","(479, 283)",True,ok
22323.png,22323.npy,"(92, 569, 3)","(1, 92, 569)","(92, 569)","(92, 569)",True,ok
22337.png,22337.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
22346.png,22346.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
22372.png,22372.npy,"(498, 246, 3)","(1, 498, 246)","(498, 246)","(498, 246)",True,ok
22416.png,22416.npy,"(512, 513, 3)","(1, 512, 513)","(512, 513)","(512, 513)",True,ok
22430.png,22430.npy,"(512, 512, 4)","(2, 512, 512)","(512, 512)","(2, 512)",False,shape_mismatch
22456.png,22456.npy,"(419, 1539, 3)","(1, 419, 1539)","(419, 1539)","(419, 1539)",True,ok
2249.png,2249.npy,"(512, 512, 3)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
22507.png,22507.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
22524.png,22524.npy,"(512, 533, 3)","(2, 512, 533)","(512, 533)","(2, 512)",False,shape_mismatch
22556.png,22556.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
22565.png,22565.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
22638.png,22638.npy,"(144, 794, 3)","(1, 144, 794)","(144, 794)","(144, 794)",True,ok
22666.png,22666.npy,"(512, 640, 4)","(2, 512, 640)","(512, 640)","(2, 512)",False,shape_mismatch
22719.png,22719.npy,"(512, 512)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
22732.png,22732.npy,"(100, 609, 3)","(2, 100, 609)","(100, 609)","(2, 100)",False,shape_mismatch
22739.png,22739.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
2275.png,2275.npy,"(512, 512, 4)","(2, 512, 512)","(512, 512)","(2, 512)",False,shape_mismatch
22751.png,22751.npy,"(2592, 3888, 3)","(1, 2592, 3888)","(2592, 3888)","(2592, 3888)",True,ok
2276.png,2276.npy,"(170, 1127, 3)","(1, 170, 1127)","(170, 1127)","(170, 1127)",True,ok
22787.png,22787.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
22797.png,22797.npy,"(199, 192, 3)","(1, 199, 192)","(199, 192)","(199, 192)",True,ok
22821.png,22821.npy,"(515, 512, 3)","(1, 515, 512)","(515, 512)","(515, 512)",True,ok
22834.png,22834.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
22842.png,22842.npy,"(550, 512, 3)","(1, 550, 512)","(550, 512)","(550, 512)",True,ok
22864.png,22864.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
2290.png,2290.npy,"(168, 1641, 3)","(2, 168, 1641)","(168, 1641)","(2, 168)",False,shape_mismatch
22901.png,22901.npy,"(115, 662, 3)","(1, 115, 662)","(115, 662)","(115, 662)",True,ok
22918.png,22918.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
2293.png,2293.npy,"(909, 898, 3)","(2, 909, 898)","(909, 898)","(2, 909)",False,shape_mismatch
22933.png,22933.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
22951.png,22951.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
22959.png,22959.npy,"(512, 512, 3)","(3, 512, 512)","(512, 512)","(3, 512)",False,shape_mismatch
230.png,230.npy,"(3888, 2592, 3)","(1, 3888, 2592)","(3888, 2592)","(3888, 2592)",True,ok
23006.png,23006.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
23038.png,23038.npy,"(961, 1211, 3)","(1, 961, 1211)","(961, 1211)","(961, 1211)",True,ok
2305.png,2305.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
2307.png,2307.npy,"(1028, 1384)","(1, 1028, 1384)","(1028, 1384)","(1028, 1384)",True,ok
23105.png,23105.npy,"(89, 820, 3)","(1, 89, 820)","(89, 820)","(89, 820)",True,ok
23115.png,23115.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
23128.png,23128.npy,"(512, 823, 3)","(1, 512, 823)","(512, 823)","(512, 823)",True,ok
23143.png,23143.npy,"(2592, 3888, 3)","(2, 2592, 3888)","(2592, 3888)","(2, 2592)",False,shape_mismatch
23146.png,23146.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
23157.png,23157.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
23175.png,23175.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
23223.png,23223.npy,"(85, 461, 3)","(1, 85, 461)","(85, 461)","(85, 461)",True,ok
23236.png,23236.npy,"(1028, 1384)","(1, 1028, 1384)","(1028, 1384)","(1028, 1384)",True,ok
23247.png,23247.npy,"(1024, 1024, 3)","(1, 1024, 1024)","(1024, 1024)","(1024, 1024)",True,ok
23251.png,23251.npy,"(512, 690, 3)","(1, 512, 690)","(512, 690)","(512, 690)",True,ok
2326.png,2326.npy,"(649, 884, 3)","(3, 649, 884)","(649, 884)","(3, 649)",False,shape_mismatch
2329.png,2329.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
23357.png,23357.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
23391.png,23391.npy,"(98, 723, 3)","(1, 98, 723)","(98, 723)","(98, 723)",True,ok
23398.png,23398.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
23428.png,23428.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
23432.png,23432.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
23460.png,23460.npy,"(344, 1652, 3)","(1, 344, 1652)","(344, 1652)","(344, 1652)",True,ok
23463.png,23463.npy,"(2592, 3888, 3)","(1, 2592, 3888)","(2592, 3888)","(2592, 3888)",True,ok
23499.png,23499.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
23502.png,23502.npy,"(512, 638, 3)","(2, 512, 638)","(512, 638)","(2, 512)",False,shape_mismatch
23510.png,23510.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
23527.png,23527.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
2357.png,2357.npy,"(187, 1451, 3)","(1, 187, 1451)","(187, 1451)","(187, 1451)",True,ok
23606.png,23606.npy,"(512, 640, 4)","(1, 512, 640)","(512, 640)","(512, 640)",True,ok
23636.png,23636.npy,"(2592, 3888, 3)","(1, 2592, 3888)","(2592, 3888)","(2592, 3888)",True,ok
23665.png,23665.npy,"(512, 595, 3)","(2, 512, 595)","(512, 595)","(2, 512)",False,shape_mismatch
23726.png,23726.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
23772.png,23772.npy,"(157, 1295, 3)","(1, 157, 1295)","(157, 1295)","(157, 1295)",True,ok
23818.png,23818.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
23860.png,23860.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
23868.png,23868.npy,"(262, 2225, 3)","(1, 262, 2225)","(262, 2225)","(262, 2225)",True,ok
23904.png,23904.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
23930.png,23930.npy,"(512, 683, 3)","(2, 512, 683)","(512, 683)","(2, 512)",False,shape_mismatch
23976.png,23976.npy,"(512, 514, 3)","(2, 512, 514)","(512, 514)","(2, 512)",False,shape_mismatch
24012.png,24012.npy,"(512, 697, 3)","(1, 512, 697)","(512, 697)","(512, 697)",True,ok
24027.png,24027.npy,"(1912, 2568)","(2, 1912, 2568)","(1912, 2568)","(2, 1912)",False,shape_mismatch
24029.png,24029.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
24032.png,24032.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
2404.png,2404.npy,"(97, 620, 3)","(1, 97, 620)","(97, 620)","(97, 620)",True,ok
24043.png,24043.npy,"(512, 744, 3)","(1, 512, 744)","(512, 744)","(512, 744)",True,ok
24097.png,24097.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
24111.png,24111.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
24135.png,24135.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
24147.png,24147.npy,"(135, 616, 3)","(1, 135, 616)","(135, 616)","(135, 616)",True,ok
24193.png,24193.npy,"(1678, 1463, 3)","(3, 1678, 1463)","(1678, 1463)","(3, 1678)",False,shape_mismatch
24201.png,24201.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
24218.png,24218.npy,"(512, 640, 4)","(2, 512, 640)","(512, 640)","(2, 512)",False,shape_mismatch
24249.png,24249.npy,"(1200, 1600, 3)","(3, 1200, 1600)","(1200, 1600)","(3, 1200)",False,shape_mismatch
24268.png,24268.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
2430.png,2430.npy,"(98, 736, 3)","(1, 98, 736)","(98, 736)","(98, 736)",True,ok
24300.png,24300.npy,"(520, 696, 3)","(3, 520, 696)","(520, 696)","(3, 520)",False,shape_mismatch
24332.png,24332.npy,"(100, 428, 3)","(1, 100, 428)","(100, 428)","(100, 428)",True,ok
24336.png,24336.npy,"(128, 653, 3)","(1, 128, 653)","(128, 653)","(128, 653)",True,ok
24348.png,24348.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
24351.png,24351.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
2436.png,2436.npy,"(512, 776, 3)","(1, 512, 776)","(512, 776)","(512, 776)",True,ok
24381.png,24381.npy,"(256, 320, 4)","(2, 256, 320)","(256, 320)","(2, 256)",False,shape_mismatch
24386.png,24386.npy,"(264, 241, 3)","(1, 264, 241)","(264, 241)","(264, 241)",True,ok
24402.png,24402.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
24473.png,24473.npy,"(513, 512, 3)","(1, 513, 512)","(513, 512)","(513, 512)",True,ok
24482.png,24482.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
2450.png,2450.npy,"(3888, 2592, 3)","(1, 3888, 2592)","(3888, 2592)","(3888, 2592)",True,ok
24505.png,24505.npy,"(512, 738, 3)","(3, 512, 738)","(512, 738)","(3, 512)",False,shape_mismatch
24554.png,24554.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
24555.png,24555.npy,"(512, 565, 3)","(1, 512, 565)","(512, 565)","(512, 565)",True,ok
24578.png,24578.npy,"(665, 332, 3)","(1, 665, 332)","(665, 332)","(665, 332)",True,ok
24600.png,24600.npy,"(100, 808, 3)","(1, 100, 808)","(100, 808)","(100, 808)",True,ok
24606.png,24606.npy,"(512, 512, 4)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
24615.png,24615.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
24635.png,24635.npy,"(268, 297, 3)","(1, 268, 297)","(268, 297)","(268, 297)",True,ok
24654.png,24654.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
24676.png,24676.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
24682.png,24682.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
24686.png,24686.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
24696.png,24696.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
24736.png,24736.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
24749.png,24749.npy,"(512, 512, 3)","(2, 512, 512)","(512, 512)","(2, 512)",False,shape_mismatch
24755.png,24755.npy,"(80, 1259, 3)","(1, 80, 1259)","(80, 1259)","(80, 1259)",True,ok
2476.png,2476.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
24770.png,24770.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
24795.png,24795.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
24850.png,24850.npy,"(1912, 2568)","(2, 1912, 2568)","(1912, 2568)","(2, 1912)",False,shape_mismatch
24867.png,24867.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
24894.png,24894.npy,"(1256, 1411, 3)","(2, 1256, 1411)","(1256, 1411)","(2, 1256)",False,shape_mismatch
24912.png,24912.npy,"(2592, 3888, 3)","(1, 2592, 3888)","(2592, 3888)","(2592, 3888)",True,ok
24934.png,24934.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
24937.png,24937.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
24958.png,24958.npy,"(1024, 1024, 3)","(3, 1024, 1024)","(1024, 1024)","(3, 1024)",False,shape_mismatch
24960.png,24960.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
24980.png,24980.npy,"(289, 535, 3)","(2, 289, 535)","(289, 535)","(2, 289)",False,shape_mismatch
25001.png,25001.npy,"(3888, 2592, 3)","(1, 3888, 2592)","(3888, 2592)","(3888, 2592)",True,ok
25003.png,25003.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
25022.png,25022.npy,"(512, 512, 4)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
2506.png,2506.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
25064.png,25064.npy,"(143, 938, 3)","(1, 143, 938)","(143, 938)","(143, 938)",True,ok
25067.png,25067.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
25124.png,25124.npy,"(141, 340, 3)","(1, 141, 340)","(141, 340)","(141, 340)",True,ok
25142.png,25142.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
25245.png,25245.npy,"(512, 540, 3)","(1, 512, 540)","(512, 540)","(512, 540)",True,ok
25285.png,25285.npy,"(1302, 1730, 3)","(2, 1302, 1730)","(1302, 1730)","(2, 1302)",False,shape_mismatch
25311.png,25311.npy,"(1028, 1384)","(2, 1028, 1384)","(1028, 1384)","(2, 1028)",False,shape_mismatch
2534.png,2534.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
25340.png,25340.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
25344.png,25344.npy,"(361, 448, 3)","(1, 361, 448)","(361, 448)","(361, 448)",True,ok
25351.png,25351.npy,"(1921, 482, 3)","(1, 1921, 482)","(1921, 482)","(1921, 482)",True,ok
25356.png,25356.npy,"(512, 686, 3)","(1, 512, 686)","(512, 686)","(512, 686)",True,ok
25388.png,25388.npy,"(514, 512, 3)","(1, 514, 512)","(514, 512)","(514, 512)",True,ok
25390.png,25390.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
25434.png,25434.npy,"(96, 416, 3)","(1, 96, 416)","(96, 416)","(96, 416)",True,ok
25443.png,25443.npy,"(512, 512, 4)","(2, 512, 512)","(512, 512)","(2, 512)",False,shape_mismatch
25450.png,25450.npy,"(520, 696, 3)","(2, 520, 696)","(520, 696)","(2, 520)",False,shape_mismatch
25458.png,25458.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
25472.png,25472.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
25486.png,25486.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
25502.png,25502.npy,"(545, 620, 3)","(2, 545, 620)","(545, 620)","(2, 545)",False,shape_mismatch
25520.png,25520.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
25525.png,25525.npy,"(440, 570, 3)","(2, 440, 570)","(440, 570)","(2, 440)",False,shape_mismatch
25552.png,25552.npy,"(3888, 2592, 3)","(1, 3888, 2592)","(3888, 2592)","(3888, 2592)",True,ok
25555.png,25555.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
25570.png,25570.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
25604.png,25604.npy,"(512, 526, 3)","(1, 512, 526)","(512, 526)","(512, 526)",True,ok
25638.png,25638.npy,"(1024, 1024)","(2, 1024, 1024)","(1024, 1024)","(2, 1024)",False,shape_mismatch
25654.png,25654.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
25715.png,25715.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
25749.png,25749.npy,"(360, 360, 4)","(2, 360, 360)","(360, 360)","(2, 360)",False,shape_mismatch
25764.png,25764.npy,"(106, 924, 3)","(1, 106, 924)","(106, 924)","(106, 924)",True,ok
2577.png,2577.npy,"(512, 685, 3)","(2, 512, 685)","(512, 685)","(2, 512)",False,shape_mismatch
25861.png,25861.npy,"(512, 519, 3)","(2, 512, 519)","(512, 519)","(2, 512)",False,shape_mismatch
25907.png,25907.npy,"(512, 519, 3)","(1, 512, 519)","(512, 519)","(512, 519)",True,ok
25908.png,25908.npy,"(711, 560, 3)","(1, 711, 560)","(711, 560)","(711, 560)",True,ok
25957.png,25957.npy,"(512, 583, 3)","(2, 512, 583)","(512, 583)","(2, 512)",False,shape_mismatch
25981.png,25981.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
26015.png,26015.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
26020.png,26020.npy,"(169, 526, 3)","(1, 169, 526)","(169, 526)","(169, 526)",True,ok
26021.png,26021.npy,"(393, 275, 3)","(1, 393, 275)","(393, 275)","(393, 275)",True,ok
26023.png,26023.npy,"(512, 514, 3)","(3, 512, 514)","(512, 514)","(3, 512)",False,shape_mismatch
26035.png,26035.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
26049.png,26049.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
26119.png,26119.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
26121.png,26121.npy,"(64, 1192, 3)","(1, 64, 1192)","(64, 1192)","(64, 1192)",True,ok
26140.png,26140.npy,"(1024, 1024, 3)","(1, 1024, 1024)","(1024, 1024)","(1024, 1024)",True,ok
26148.png,26148.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
26200.png,26200.npy,"(520, 696, 3)","(2, 520, 696)","(520, 696)","(2, 520)",False,shape_mismatch
26206.png,26206.npy,"(85, 549, 3)","(1, 85, 549)","(85, 549)","(85, 549)",True,ok
26208.png,26208.npy,"(149, 288, 3)","(1, 149, 288)","(149, 288)","(149, 288)",True,ok
26211.png,26211.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
2622.png,2622.npy,"(1024, 1024)","(1, 1024, 1024)","(1024, 1024)","(1024, 1024)",True,ok
26252.png,26252.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
26286.png,26286.npy,"(512, 768, 3)","(3, 512, 768)","(512, 768)","(3, 512)",False,shape_mismatch
26292.png,26292.npy,"(110, 602, 3)","(1, 110, 602)","(110, 602)","(110, 602)",True,ok
26313.png,26313.npy,"(75, 1067, 3)","(1, 75, 1067)","(75, 1067)","(75, 1067)",True,ok
